Date,Volume,Return,RSI,MACD,Signal_Line,STD20
2015-01-05,26452200,-0.016061200847743762,0.0,-0.09989707490318267,-0.019979414980636535,0.8854965206693933
2015-01-06,27399300,-0.013473080987459696,0.0,-0.25947921291826503,-0.06787937456816225,1.1446899344930002
2015-01-07,22045300,0.0,0.0,-0.38155092546091396,-0.1306136847467126,1.0861082042979522
2015-01-08,23961000,0.026657815842370702,46.88225762416188,-0.31189842009489155,-0.16687063181634837,1.0802031230288691
2015-01-09,21157000,-0.005628005508411138,42.55769416460137,-0.28865743190328885,-0.19122799183373648,0.9885874873745955
2015-01-12,19190200,-0.01312072638316153,35.060423861956494,-0.3480285455021743,-0.22258810256742406,0.9292699951107516
2015-01-13,25179600,-0.003519430007228208,33.49826266833368,-0.41198557999923935,-0.26046759805378716,0.9024853783660056
2015-01-14,25918600,-0.0022235034678982357,32.5842530493252,-0.4708764942918293,-0.30254937730139564,0.8897941970775062
2015-01-15,34134000,-0.029234327679599548,23.99525620830582,-0.6884513573899369,-0.3797297733191039,1.2583995526611185
2015-01-16,21791500,0.015259969636388204,32.95100522222471,-0.7614801748549809,-0.45607985362627934,1.281649356697209
2015-01-20,22821600,0.014099384507402224,39.62439453350249,-0.7259789762759965,-0.5100596781562228,1.2262311725751656
2015-01-21,25096700,0.006558291161143259,42.33184967934485,-0.6502493960123843,-0.5380976217274551,1.1750175999304733
2015-01-22,19519500,0.011858149546886798,46.68324592833151,-0.5113594740030152,-0.5327499921825671,1.1642476962696267
2015-01-23,16746500,0.0023182515499662326,47.46737042400418,-0.38244315805484064,-0.5026886253570219,1.1617107388681405
2015-01-26,19260800,-0.004240034749564803,46.22120113980157,-0.3032456698615107,-0.46280003425791966,1.1383709023353186
2015-01-27,20110000,-0.022193689026265617,40.65779874963874,-0.37410875374295927,-0.44506177815492765,1.1283377889381034
2015-01-28,53306400,0.006070233136296954,42.50848050394855,-0.38889441069876796,-0.4338283046636957,1.1004650130350164
2015-01-29,61293500,0.023084963374357947,48.63718935677457,-0.25650831723402234,-0.39836430717776106,1.1100477708755392
2015-01-30,42649500,-0.026794768534046387,43.17205943045811,-0.31556534114712065,-0.381804513971633,1.0969917450528652
2015-02-02,41955300,-0.012119673789769414,41.137299594785055,-0.43117991417670964,-0.3916795940126484,1.0829646113654698
2015-02-03,26957700,0.005467471304502425,45.206239823692904,-0.48434078987412477,-0.4102118331849437,1.1007564396565508
2015-02-04,20277400,0.0030505143511514454,48.54425224737332,-0.5022356340444247,-0.42861659335683994,1.1143274936340521
2015-02-05,15062600,-0.00026460984866283344,48.48991847886754,-0.5121189813203699,-0.445317070949546,1.1278375843358823
2015-02-06,21211000,-0.015077413028748099,39.081830808115036,-0.6044094724823879,-0.4771355512561144,1.1258266991480153
2015-02-09,16194300,-0.000402839793768317,40.04826229799654,-0.6722074384277335,-0.5161499286904383,1.1331177691111356
2015-02-10,15811300,0.010075259721369578,45.30964737931304,-0.6582023442837936,-0.5445604118091094,1.1374793152767362
2015-02-11,20877400,0.017555629085727276,50.17287405155844,-0.5350742106223834,-0.5426631715717642,1.1388487642792615
2015-02-12,17235000,-0.003659722097503537,49.856907775490434,-0.4547083435523973,-0.5250722059678908,1.1382226588229511
2015-02-13,18621900,-0.006428038505192246,55.37184153930017,-0.42541134393050584,-0.5051400335604138,1.0476437992304988
2015-02-17,25254400,-0.0018482617258605005,51.42469082180701,-0.40870852230962385,-0.4858537313102559,1.0332789040491246
2015-02-18,22426400,0.014682486333726263,51.58892086666996,-0.3029604443409255,-0.4492750739163899,1.0421853064532702
2015-02-19,45851200,0.03532787680890381,57.882333391583686,-0.0017989234463868797,-0.3597798438223893,1.2715568980737397
2015-02-20,36931700,0.0060437123325154385,56.789354769816775,0.2722296686185359,-0.23337794133420428,1.4819483847622794
2015-02-23,24139100,-0.013266481478047654,52.8939638755462,0.39978243026723703,-0.10674586701391603,1.5496620601002116
2015-02-24,18897100,-0.00494683606865276,52.712697072442346,0.46423982973388433,0.007451272335644035,1.5981668539927067
2015-02-25,25593800,0.014149090223420702,61.183403677775814,0.5974543336268283,0.1254518845938809,1.7306976724365324
2015-02-26,31111900,0.010683897784632634,62.05898362335583,0.7624077558961062,0.25284305885432595,1.9182901534219665
2015-02-27,30739200,-0.017908290512819947,52.85798100032162,0.7687879267886473,0.3560320324411902,1.9601640805396403
2015-03-02,21662500,0.009877191735820467,62.26048005458775,0.8268666535158928,0.45019895665613074,2.0434371350632965
2015-03-03,18635000,-0.0018809413504563555,65.48011533676925,0.8510540474673007,0.5303699748183648,2.053819386736354
2015-03-04,28126700,0.016331697302622628,67.42704254128864,0.9633742187922252,0.6169708236131369,2.1478684776937516
2015-03-05,27825700,0.0038320462111467446,67.59135209227946,1.0649745520891827,0.7065715693083461,2.2383469536561384
2015-03-06,24488600,-0.014776719584321585,62.91072578937648,1.037298115181997,0.7727168784830764,2.2203388165984816
2015-03-09,18925100,-0.007123890510971287,65.0880386887367,0.9586031366528829,0.8098941301170377,2.067927487155703
2015-03-10,23067100,-0.02379160782195411,58.48335416810625,0.7361773577635233,0.7951507756463349,1.8685788646070776
2015-03-11,20215700,0.0002576626679955396,56.76131050413131,0.5551068796022065,0.7471419964375092,1.718243536093388
2015-03-12,16093300,0.01753277771834605,56.85938063002296,0.5147432299041554,0.7006622431308385,1.6465280902294284
2015-03-13,18557300,-0.011149055054464951,54.989040902181216,0.4074843461772417,0.6420266637401191,1.5491151533748648
